"name","parent","type","size"
"hw_8.py","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",815
"hw_8_module","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","dir",26121
"hw_8_stat.csv","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",1659
"hw_8_stat.json","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",3342
"hw_8_stat.pickle","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",1841
"new_users.csv","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",362
"new_users.json","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",925
"new_users.pickle","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",372
"output.json","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",158
"output.pickle","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",136
"users.csv","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",122
"users.json","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",312
"users.pickle","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8","file",174
"csv_to_json.py","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module","file",1090
"csv_to_pickle.py","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module","file",687
"input_user.py","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module","file",1309
"json_to_csv.py","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module","file",792
"json_to_pickle.py","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module","file",817
"pickle_to_csv.py","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module","file",688
"walk_saver.py","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module","file",2206
"write_json.py","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module","file",1083
"__init__.py","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module","file",134
"__pycache__","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module","dir",17315
"csv_to_json.cpython-311.pyc","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module\__pycache__","file",2165
"csv_to_pickle.cpython-311.pyc","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module\__pycache__","file",1546
"input_user.cpython-311.pyc","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module\__pycache__","file",2695
"json_to_csv.cpython-311.pyc","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module\__pycache__","file",1964
"json_to_pickle.cpython-311.pyc","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module\__pycache__","file",1718
"pickle_to_csv.cpython-311.pyc","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module\__pycache__","file",1753
"walk_saver.cpython-311.pyc","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module\__pycache__","file",3544
"write_json.cpython-311.pyc","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module\__pycache__","file",1598
"__init__.cpython-311.pyc","C:\Users\spite\Downloads\Studies\GB\Data_Ingineer\Python\hw_8\hw_8_module\__pycache__","file",332
